Name,Release_Year,Genres,Review_Score,Avg_Main_Story,Avg_Main_+_Extras,Avg_Completionist,Avg_All_PlayStyles,Speedrun_Avg,Speedrun_Fastest,Speedrun_Slowest,Primary_Genre
Assassin's Creed: Revelations,2011.0,,75,12.78,21.27,34.47,19.88,2.8,2.8,2.8,
Journey,2012.0,Adventure,83,2.0,2.62,5.73,2.42,0.92,0.57,1.5,Adventure
Risk of Rain 2,2019.0,Roguelike,82,11.13,47.52,141.82,51.92,,,,Roguelike
Starbound,2013.0,"Adventure, Platform, Role-Playing, Sandbox",73,24.48,64.77,203.25,64.52,,,,Adventure
Moonlighter,2018.0,"Action, Role-Playing",73,13.75,20.58,26.78,17.17,,,,Action
Titan Quest: Anniversary Edition,2016.0,"Action, Role-Playing",74,31.03,46.5,121.37,50.4,,,,Action
Fall Guys,2020.0,"Party, Platform",71,,,,,,,,Platform
Crash Bandicoot N. Sane Trilogy,2017.0,"Third-Person, Platform",79,14.92,24.0,45.68,24.98,,,,Platform
Mad Max,2015.0,"Third-Person, Action, Adventure, Shooter",75,19.93,39.95,63.88,41.52,,,,Adventure
Injustice: Gods Among Us - Ultimate Edition,2013.0,Fighting,71,5.0,12.2,28.28,6.95,1.35,0.73,1.7,Fighting
Inscryption,2021.0,"Card Game, Horror, Roguelike",87,12.78,15.4,23.93,14.92,,,,Horror
ŌKAMI,2006.0,"Action, Adventure",86,33.67,41.5,54.18,41.02,4.18,1.37,7.0,Adventure
Enter the Gungeon,2016.0,Roguelike,79,23.92,67.7,164.3,77.53,0.38,0.38,0.38,Roguelike
Assassin's Creed: Unity,2014.0,"Third-Person, Action, Adventure, Stealth",69,17.3,37.4,81.55,36.07,4.63,3.87,5.4,Adventure
Resident Evil 6,2012.0,"Third-Person, Action, Adventure, Shooter",64,20.98,28.12,55.08,25.43,,,,Adventure
Half-Life 2: Deathmatch,2004.0,"First-Person, Shooter",66,,,,,,,,Shooter
The Long Dark,2014.0,"First-Person, Open World, Simulation",74,21.37,54.18,282.37,58.52,,,,Simulation
Surviving Mars,2018.0,"Simulation, Strategy",69,20.9,47.18,262.0,41.3,,,,Simulation
Fire Emblem: Three Houses,2019.0,"Third-Person, Top-Down, Turn-Based, Role-Playing, Strategy/Tactical",88,49.65,80.17,216.13,83.22,2.12,1.08,2.72,Top-Down
Quantum Break,2016.0,"Third-Person, Action, Adventure, Shooter",75,10.25,13.38,19.12,12.98,,,,Adventure
Deus Ex,2000.0,"First-Person, Action, Role-Playing, Sandbox",89,22.87,29.32,40.12,28.82,1.95,0.9,3.0,Action
Brütal Legend,2009.0,"Real-Time, Action, Adventure, Strategy",70,9.37,14.33,25.28,13.0,8.15,8.15,8.15,Adventure
Castle Crashers,2008.0,"Action, Beat em Up, Role-Playing",75,7.22,13.73,42.03,12.23,2.97,2.53,3.42,Action
Donut County,2018.0,"Top-Down, Puzzle",72,1.92,2.22,2.6,2.18,1.23,1.07,1.67,Puzzle
Uncharted 4: A Thief's End,2016.0,"Third-Person, Action, Adventure, Platform, Shooter",88,15.2,18.15,31.85,16.9,5.25,3.75,7.5,Adventure
Death's Door,2021.0,"Top-Down, Action, Role-Playing",81,9.13,11.85,15.63,12.2,4.12,4.12,4.12,Action
Valheim,2021.0,"Third-Person, Adventure, Open World, Survival",78,73.72,96.32,138.98,99.87,,,,Adventure
Half-Life: Blue Shift,2001.0,"First-Person, Shooter",71,3.08,3.48,3.75,3.25,1.72,1.45,2.0,Shooter
Warframe,2013.0,"Third-Person, Action, Shooter",73,,,,,,,,Shooter
What Remains of Edith Finch,2017.0,Adventure,83,2.23,2.57,2.95,2.5,,,,Adventure
Tales of Arise,2021.0,"Action, Role-Playing",81,40.95,56.05,74.62,58.17,,,,Action
Mafia: Definitive Edition,2020.0,"Action, Adventure, Open World, Shooter",80,10.7,13.38,25.9,12.8,4.05,3.8,4.47,Adventure
Doki Doki Literature Club!,2017.0,"Text, Visual Novel",79,4.37,6.02,7.92,5.48,,,,Text
Half-Life: Opposing Force,1999.0,"First-Person, Shooter",77,5.52,6.45,7.42,5.97,1.55,0.5,3.0,Shooter
Apex Legends,2019.0,"First-Person, Shooter, Survival",74,,,,,,,,Shooter
Chrono Trigger,1995.0,"Top-Down, Real-Time, Role-Playing",92,23.25,27.12,43.53,27.72,9.02,3.05,15.0,Top-Down
Xenoblade Chronicles 3,2022.0,"Third-Person, Action, Role-Playing",90,62.52,101.15,172.22,102.98,,,,Action
Star Wars: Knights of the Old Republic II - The Sith Lords,2004.0,"Third-Person, Real-Time, Role-Playing",85,31.4,41.05,54.65,41.63,1.28,1.28,1.28,Real-Time
Chained Echoes,2022.0,"Turn-Based, Role-Playing",86,31.48,42.08,57.88,44.98,,,,Turn-Based
Assassin's Creed: Brotherhood,2010.0,"Third-Person, Action, Adventure, Platform",81,15.52,26.25,42.48,25.57,4.58,2.85,5.98,Adventure
Frostpunk,2018.0,"Simulation, Strategy",81,10.67,25.55,53.07,17.15,,,,Simulation
L.A. Noire,2011.0,"Action, Adventure",78,22.03,29.5,42.27,28.53,9.0,9.0,9.0,Adventure
Company of Heroes 2,2013.0,"Real-Time, Strategy/Tactical",73,15.35,23.87,77.32,21.22,,,,Real-Time
Path of Exile,2013.0,"Action, Role-Playing",76,31.87,151.37,683.12,139.78,,,,Action
LEGO Star Wars: The Skywalker Saga,2022.0,"Third-Person, Action, Adventure",77,19.18,33.65,87.67,47.93,,,,Adventure
Just Cause 2,2010.0,"Third-Person, Action, Open World, Shooter",74,18.07,36.95,90.42,35.48,8.27,6.33,10.2,Shooter
Yakuza Kiwami 2,2017.0,"Action, Adventure, Beat em Up",85,18.77,37.67,76.47,35.88,3.4,2.0,5.55,Adventure
Resident Evil: HD Remaster,2014.0,"Third-Person, Action, Adventure, Horror, Survival",84,11.32,14.87,30.83,13.92,2.55,1.48,4.97,Horror
